Country,id,Global_Score,Global_Rank,Percentage_missing_values,Regional_Score,Population_in_2019,GDP_per_capita_in_2017,Goal_1,Goal_2,Goal_3,Goal_4,Goal_5,Goal_6,Goal_7,Goal_8,Goal_9,Goal_10,Goal_11,Goal_12,Goal_13,Goal_14,Goal_15,Goal_16,Goal_17,Regional_Score_Goal_1,Regional_Score_Goal_2,Regional_Score_Goal_3,Regional_Score_Goal_4,Regional_Score_Goal_5,Regional_Score_Goal_6,Regional_Score_Goal_7,Regional_Score_Goal_8,Regional_Score_Goal_9,Regional_Score_Goal_10,Regional_Score_Goal_11,Regional_Score_Goal_12,Regional_Score_Goal_13,Regional_Score_Goal_14,Regional_Score_Goal_15,Regional_Score_Goal_16,Regional_Score_Goal_17
Botswana,BWA,59.8,120.0,1.3,53.8,2374636,15473.92262,56.67,36.60,54.74,88.31,66.17,60.58,59.05,63.47,28.96,0.00,82.52,67.36,71.51,,71.70,65.73,88.12,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Central African Republic,CAF,39.1,162.0,7.5,53.8,4825711,661.2399677,0.00,40.91,17.59,10.30,30.60,47.99,2.69,37.46,1.87,19.28,27.76,96.14,99.38,,89.94,49.51,38.34,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Canada,CAN,77.9,20.0,3.6,77.7,37279811,44017.59091,99.21,60.20,94.78,99.92,80.40,84.22,95.28,84.03,74.43,78.85,80.39,50.15,68.49,59.49,60.74,88.13,65.38,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Switzerland,CHE,78.8,17.0,1.3,77.7,8608259,57410.16586,99.88,62.62,97.79,91.87,82.16,95.49,96.71,79.79,93.31,80.01,98.35,27.91,88.95,,57.74,83.00,53.32,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Chile,CHL,75.6,31.0,1.2,77.7,18336653,22767.03719,98.91,63.32,86.57,92.76,70.45,96.58,91.04,80.65,49.25,27.32,80.66,72.45,94.67,66.18,59.26,75.91,79.41,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
China,CHN,73.2,39.0,6.0,65.7,1420062022,15308.71212,97.40,71.93,81.07,99.67,76.26,71.75,76.85,87.42,61.86,59.52,75.13,81.97,92.02,36.16,62.73,63.35,49.48,83.19,53.50,68.16,84.74,56.57,67.20,69.81,75.25,32.48,62.27,71.03,85.43,89.61,46.37,54.26,64.50,53.18
Cote d'Ivoire,CIV,55.7,129.0,7.1,53.8,25531083,3585.53599,43.50,48.55,34.82,39.79,35.07,51.89,52.49,74.99,28.29,46.66,58.93,96.25,99.43,54.56,76.03,52.21,53.46,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Cameroon,CMR,56.0,127.0,4.8,53.8,25312993,3383.460806,47.59,56.65,40.64,63.80,51.89,52.53,54.82,68.02,14.30,43.19,39.72,94.86,97.90,50.22,68.55,45.97,61.69,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
"Congo, Dem. Rep.",COD,44.9,160.0,11.9,53.8,86727573,808.1332134,0.66,36.46,37.75,56.10,37.17,42.66,35.23,58.44,2.32,58.93,48.22,94.70,99.22,15.32,65.35,31.07,44.46,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
"Congo, Rep.",COG,54.2,132.0,8.3,53.8,5542197,4957.59012,11.27,42.84,48.45,57.71,51.84,38.32,49.16,56.34,6.68,29.37,57.93,93.09,95.20,59.29,91.10,53.00,80.10,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
