Country,id,Global_Score,Global_Rank,Percentage_missing_values,Regional_Score,Population_in_2019,GDP_per_capita_in_2017,Goal_1,Goal_2,Goal_3,Goal_4,Goal_5,Goal_6,Goal_7,Goal_8,Goal_9,Goal_10,Goal_11,Goal_12,Goal_13,Goal_14,Goal_15,Goal_16,Goal_17,Regional_Score_Goal_1,Regional_Score_Goal_2,Regional_Score_Goal_3,Regional_Score_Goal_4,Regional_Score_Goal_5,Regional_Score_Goal_6,Regional_Score_Goal_7,Regional_Score_Goal_8,Regional_Score_Goal_9,Regional_Score_Goal_10,Regional_Score_Goal_11,Regional_Score_Goal_12,Regional_Score_Goal_13,Regional_Score_Goal_14,Regional_Score_Goal_15,Regional_Score_Goal_16,Regional_Score_Goal_17
Sweden,SWE,85.0,2.0,2.4,77.7,10053135,46949.28309,99.03,63.32,97.76,99.30,88.87,93.53,98.68,83.55,91.66,100.00,90.31,52.18,87.20,42.26,75.17,83.84,98.20,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Eswatini,SWZ,51.7,142.0,5.0,53.8,1415414,7870.644839,22.13,54.05,42.71,60.29,55.62,56.08,55.52,45.89,9.79,0.00,82.68,89.69,52.70,,63.35,53.66,80.02,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Seychelles,SYC,,,,53.8,95702,26656.95252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,SYR,58.1,123.0,15.5,65.9,18499181,,,28.16,63.88,48.77,34.33,63.21,91.00,52.84,12.42,76.62,47.73,85.38,96.71,30.00,47.61,53.53,62.41,93.57,50.25,75.82,79.23,43.35,55.72,88.29,65.01,37.63,69.99,60.02,73.23,78.21,49.69,57.83,68.24,73.94
Chad,TCD,42.8,161.0,7.5,53.8,15814345,1768.153411,23.59,37.12,21.55,14.72,27.01,40.84,0.58,54.17,9.72,53.25,39.44,95.93,76.32,,80.67,32.18,65.78,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Togo,TGO,51.6,144.0,4.8,53.8,8186384,1511.952428,18.58,53.28,42.97,61.44,40.16,46.75,15.47,71.51,14.50,39.54,38.94,95.94,98.62,41.88,86.32,52.33,58.90,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Thailand,THA,73.0,40.0,0.0,65.7,69306160,16279.22292,99.99,60.18,76.70,88.65,64.69,78.27,82.94,80.16,42.83,58.89,83.03,79.46,93.91,54.70,66.95,70.90,58.75,83.19,53.50,68.16,84.74,56.57,67.20,69.81,75.25,32.48,62.27,71.03,85.43,89.61,46.37,54.26,64.50,53.18
Tajikistan,TJK,69.2,71.0,5.0,70.4,9292000,2910.212748,86.32,47.21,70.15,95.96,57.05,56.80,91.94,69.74,9.56,67.92,79.33,93.16,96.23,,68.59,72.29,73.88,95.05,55.39,77.11,89.21,59.90,72.30,87.15,70.84,32.21,68.07,76.62,78.95,87.25,40.73,66.22,69.40,69.82
Turkmenistan,TKM,64.3,101.0,15.0,70.4,5942561,16389.02331,99.56,56.00,67.77,99.64,59.39,56.18,81.34,70.58,10.29,,72.45,87.76,51.50,25.79,50.58,71.08,64.42,95.05,55.39,77.11,89.21,59.90,72.30,87.15,70.84,32.21,68.07,76.62,78.95,87.25,40.73,66.22,69.40,69.82
Timor-Leste,TLS,,,,65.7,1352360,6569.960332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,TON,,,,60.5,110041,5425.620625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,67.6,85.0,8.3,67.1,1375443,28763.07077,98.44,45.30,75.96,88.55,67.92,73.43,87.12,78.26,30.51,,67.57,75.18,49.14,52.53,64.11,57.32,100.00,81.30,53.30,73.87,80.60,68.35,72.85,83.14,73.81,25.73,37.11,77.98,82.12,86.64,53.77,61.46,57.74,70.64
Tunisia,TUN,70.0,63.0,0.0,65.9,11783168,10849.29739,97.77,52.46,77.47,84.80,52.67,61.42,91.80,63.59,31.23,61.20,62.53,86.65,90.70,59.44,65.56,70.33,80.19,93.57,50.25,75.82,79.23,43.35,55.72,88.29,65.01,37.63,69.99,60.02,73.23,78.21,49.69,57.83,68.24,73.94
Turkey,TUR,68.5,79.0,1.2,77.7,82961805,25134.61442,99.49,55.83,83.61,93.70,45.25,82.14,89.16,73.84,46.49,41.24,70.40,73.76,89.86,27.41,53.27,68.08,70.78,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Tuvalu,TUV,,,,60.5,11393,3575.103821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,TZA,55.8,128.0,2.4,53.8,60913557,2683.304024,21.47,48.19,45.09,47.96,70.68,46.47,31.35,73.84,15.69,60.15,66.30,97.92,98.22,65.03,56.88,50.53,53.17,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Uganda,UGA,52.6,140.0,2.5,53.8,45711874,1698.061274,28.31,48.27,46.64,53.21,58.36,41.08,9.68,72.01,17.45,62.01,46.46,95.76,98.64,,67.18,47.55,46.65,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Ukraine,UKR,72.8,41.0,1.2,70.4,43795220,7894.392926,99.67,53.12,71.76,92.55,62.82,79.99,91.59,68.36,25.15,99.03,75.98,80.39,95.56,38.59,63.51,61.88,77.88,95.05,55.39,77.11,89.21,59.90,72.30,87.15,70.84,32.21,68.07,76.62,78.95,87.25,40.73,66.22,69.40,69.82
Uruguay,URY,72.6,43.0,1.2,67.1,3482156,20551.40942,99.88,58.68,82.62,87.42,73.76,78.76,96.53,77.59,38.31,50.13,85.27,72.38,86.85,42.23,51.44,69.32,82.22,81.30,53.30,73.87,80.60,68.35,72.85,83.14,73.81,25.73,37.11,77.98,82.12,86.64,53.77,61.46,57.74,70.64
United States,USA,74.5,35.0,7.1,77.7,329093110,54225.44612,98.92,66.04,89.54,89.34,73.36,84.98,93.21,85.18,83.35,47.66,82.47,36.55,66.12,60.85,76.94,76.14,56.18,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Uzbekistan,UZB,71.1,52.0,10.0,70.4,32807368,6253.10386,69.42,64.00,77.62,93.62,65.52,57.09,88.12,71.95,24.77,78.03,90.85,92.05,93.42,,62.25,70.21,69.57,95.05,55.39,77.11,89.21,59.90,72.30,87.15,70.84,32.21,68.07,76.62,78.95,87.25,40.73,66.22,69.40,69.82
St. Vincent and the Grenadines,VCT,,,,67.1,110488,10697.45083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venezuela, RB",VEN,63.1,108.0,3.6,67.1,32779868,,35.01,47.52,66.19,76.26,69.03,79.87,91.89,78.60,24.66,25.95,62.70,78.55,89.02,51.39,78.88,36.77,79.65,81.30,53.30,73.87,80.60,68.35,72.85,83.14,73.81,25.73,37.11,77.98,82.12,86.64,53.77,61.46,57.74,70.64
Vietnam,VNM,71.1,54.0,1.2,65.7,97429061,6171.884192,95.34,62.59,74.78,91.71,71.96,70.77,82.39,74.16,26.37,78.28,77.64,87.08,94.52,45.22,48.59,61.76,65.31,83.19,53.50,68.16,84.74,56.57,67.20,69.81,75.25,32.48,62.27,71.03,85.43,89.61,46.37,54.26,64.50,53.18
Vanuatu,VUT,59.9,118.0,17.9,60.5,288017,2921.908676,58.70,50.33,68.56,67.75,37.08,77.55,32.19,73.99,17.74,72.31,73.35,79.35,71.82,53.59,45.51,71.40,66.63,59.64,44.58,62.93,70.37,46.24,60.55,38.02,76.92,16.56,68.61,83.24,86.85,76.13,50.64,48.86,74.83,63.88
Samoa,WSM,,,,60.5,198909,6035.987752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",YEM,53.7,133.0,9.5,65.9,29579986,2369.05031,,26.29,43.84,54.52,10.39,33.46,66.39,36.48,7.17,74.08,50.43,95.49,98.43,63.74,50.99,35.76,71.90,93.57,50.25,75.82,79.23,43.35,55.72,88.29,65.01,37.63,69.99,60.02,73.23,78.21,49.69,57.83,68.24,73.94
South Africa,ZAF,61.5,113.0,1.2,53.8,58065097,12294.4731,49.85,52.52,48.74,78.06,80.05,66.99,78.97,61.20,44.95,0.00,77.93,68.80,87.03,56.51,59.10,54.91,79.55,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Zambia,ZMB,52.6,139.0,0.0,53.8,18137369,3665.375337,13.46,42.94,46.53,62.68,63.64,52.57,43.48,67.22,16.60,16.62,63.41,89.74,98.36,,70.33,45.43,46.93,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Zimbabwe,ZWE,59.7,121.0,7.5,53.8,17297495,2212.099917,,38.90,43.25,68.80,76.42,52.42,46.09,68.94,11.35,55.96,80.60,93.69,96.35,,77.68,51.13,65.69,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
